Linux 5.10.0-5-cloud-amd64 (lke25332-32960-608682818f2e) 	05/08/21 	_x86_64_	(1 CPU)

00:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
16:15:01        all      6.58      0.00      3.19      0.02      0.77     89.44
16:25:01        all      6.23      0.00      3.17      0.02      0.71     89.86
16:35:01        all      6.33      0.00      3.18      0.01      0.74     89.74
16:45:01        all      6.24      0.00      3.17      0.01      0.70     89.87
16:55:01        all      6.32      0.00      3.22      0.01      0.95     89.49
17:05:01        all      6.33      0.00      3.22      0.01      0.92     89.52
17:15:01        all      6.54      0.00      3.43      0.01      1.04     88.99
17:25:01        all      6.54      0.00      3.37      0.01      1.04     89.04
17:35:01        all      6.20      0.00      3.19      0.01      0.60     90.01
17:45:01        all      6.32      0.00      3.14      0.01      0.71     89.82
17:55:01        all      6.29      0.00      3.20      0.01      1.22     89.29
18:05:02        all      6.39      0.00      3.31      0.01      0.84     89.44
18:15:01        all      6.34      0.00      3.33      0.01      0.79     89.53
18:25:01        all      6.67      0.00      3.54      0.01      1.05     88.73
18:35:01        all      6.51      0.00      3.40      0.01      0.89     89.19
18:45:01        all      6.36      0.00      3.28      0.01      0.86     89.49
18:55:01        all      6.18      0.00      3.19      0.01      0.66     89.96
19:05:01        all      6.47      0.00      3.33      0.01      0.97     89.22
19:15:01        all      6.37      0.00      3.31      0.01      0.84     89.47
19:25:01        all      6.39      0.00      3.20      0.01      0.90     89.51
19:35:01        all      6.21      0.00      3.23      0.01      0.59     89.96
19:45:01        all      6.36      0.00      3.32      0.01      0.56     89.75
19:55:01        all      6.36      0.00      3.29      0.01      0.47     89.87
20:05:01        all      6.51      0.00      3.39      0.01      0.88     89.22
20:15:01        all      6.50      0.00      3.22      0.01      0.65     89.62
20:25:01        all      6.47      0.00      3.38      0.01      0.96     89.17
20:35:01        all      6.50      0.00      3.32      0.01      0.67     89.50
20:45:01        all      6.48      0.00      3.24      0.01      0.62     89.65
20:55:01        all      6.34      0.00      3.24      0.01      0.48     89.93
21:05:01        all      6.30      0.00      3.29      0.01      0.69     89.72
21:15:01        all      6.25      0.00      3.28      0.01      0.49     89.97
21:25:01        all      6.23      0.00      3.21      0.01      0.51     90.04
21:35:01        all      6.09      0.00      3.16      0.01      0.39     90.36
21:45:01        all      6.00      0.00      3.15      0.01      0.29     90.56
21:55:01        all      6.35      0.00      3.19      0.01      0.57     89.88
22:05:01        all      6.30      0.00      3.22      0.01      0.55     89.92
22:15:01        all      6.20      0.00      3.24      0.01      0.43     90.13
22:25:01        all      6.17      0.00      3.20      0.01      0.48     90.14
22:35:01        all      6.20      0.00      3.20      0.01      0.44     90.15
22:45:02        all      5.96      0.00      3.12      0.01      0.33     90.58
22:55:01        all      6.04      0.00      3.13      0.01      0.33     90.49
23:05:01        all      6.23      0.00      3.32      0.01      0.47     89.98
23:15:01        all      6.05      0.00      3.18      0.01      0.33     90.43
23:25:01        all      5.90      0.00      3.10      0.01      0.28     90.73
23:35:01        all      6.05      0.00      3.26      0.01      0.38     90.30
23:45:01        all      6.15      0.00      3.22      0.01      0.39     90.22
23:55:01        all      6.14      0.00      3.19      0.01      0.51     90.15
23:59:01        all      6.27      0.00      3.34      0.01      0.76     89.62
00:00:01        all      6.08      0.00      3.15      0.00      2.64     88.12
Average:        all      6.24      0.00      3.19      0.01      0.56     90.00
